अँग	a mq g a
चित्रलेखा	c a i t a r a l a ee kh a aa
चित्रार्थन	c a i t a r a aa r a th a n a
चित्रित	c a i t a r a i t a
चित्रों	c a i t a r a o q
चित्वृत्तियों	c a i t a w a rq t a t a i y a o q
चिथड़ियाँ	c a i th a dxq a i y a aa mq
चिदंबरम	c a i d a q b a r a m a
चिनने	c a i n a n a ee
चिन्तन	c a i n a t a n a
चिन्ता	c a i n a t a aa
चिन्ताएँ	c a i n a t a aa ee mq
चिन्तित	c a i n a t a i t a
चिप	c a i p a
चिपक	c a i p a k a
चिपककर	c a i p a k a k a r a
चिपका	c a i p a k a aa
चिपकाकर	c a i p a k a aa k a r a
चिपके	c a i p a k a ee
चिपचिपा	c a i p a c a i p a aa
चिपट	c a i p a tx a
चिपटती	c a i p a tx a t a ii
चिपाकयीसी	c a i p a aa k a y a ii s a ii
चिम	c a i m a
चिमटाकमण्डल	c a i m a tx a aa k a m a nx a dx a l a
चिमी	c a i m a ii
चिया	c a i y a aa
चिरस्थायी	c a i r a s a th a aa y a ii
चिलम	c a i l a m a
चिली	c a i l a ii
चिल्ला	c a i l a l a aa
चिल्लाता	c a i l a l a aa t a aa
चिल्लाती	c a i l a l a aa t a ii
चिल्लाते	c a i l a l a aa t a ee
चिल्लाना	c a i l a l a aa n a aa
चिल्लाया	c a i l a l a aa y a aa
चिहंगचिहंग	c a i h a q g a c a i h a q g a
चिह्न	c a i h a n a
चिह्र	c a i h a r a
चींटियों	c a ii q tx a i y a o q
चींटेचींटियाँ	c a ii q tx a ee c a ii q tx a i y a aa mq
चीखता	c a ii kh a t a aa
चीखने	c a ii kh a n a ee
चीख़	c a ii khq a
चीख़ना	c a ii khq a n a aa
चीज	c a ii j a
चीज़	c a ii z a
चीज़ें	c a ii z a ee q
चीज़ों	c a ii z a o q
चीजें	c a ii j a ee q
चीजों	c a ii j a o q
चीड़ें	c a ii dxq a ee q
चीते	c a ii t a ee
चीन	c a ii n a
चीनियों	c a ii n a i y a o q
चीनी	c a ii n a ii
चीफ	c a ii ph a
चीर	c a ii r a
चीरकर	c a ii r a k a r a
चीरनेफाड़ने	c a ii r a n a ee ph a aa dxq a n a ee
चीरे	c a ii r a ee
चीवर	c a ii w a r a
चुंघा	c a u q gh a aa
चुंबक	c a u q b a k a
चुकता	c a u k a t a aa
चुकने	c a u k a n a ee
चुका	c a u k a aa
चुकानी	c a u k a aa n a ii
चुकी	c a u k a ii
चुकीं	c a u k a ii q
चुके	c a u k a ee
चुग	c a u g a
चुगी	c a u g a ii
चुचकारी	c a u c a k a aa r a ii
चुटकी	c a u tx a k a ii
चुटिया	c a u tx a i y a aa
चुड़ैल	c a u dxq a ei l a
चुनकर	c a u n a k a r a
चुनचुनकर	c a u n a c a u n a k a r a
चुनने	c a u n a n a ee
चुना	c a u n a aa
चुनार	c a u n a aa r a
चुनाव	c a u n a aa w a
चुनावी	c a u n a aa w a ii
चुने	c a u n a ee
चुनौती	c a u n a ou t a ii
चुनौतीपूर्ण	c a u n a ou t a ii p a uu r a nx a
चुप	c a u p a
चुपके	c a u p a k a ee
चुपचाप	c a u p a c a aa p a
चुप्पी	c a u p a p a ii
चुभ	c a u bh a
चुभन	c a u bh a n a
चुभने	c a u bh a n a ee
चुभो	c a u bh a o
चुभोता	c a u bh a o t a aa
चुम्बक	c a u m a b a k a
चुम्बकीय	c a u m a b a k a ii y a
चुरा	c a u r a aa
चुराया	c a u r a aa y a aa
चुरूवाला	c a u r a uu w a aa l a aa
चुस्त	c a u s a t a
चुस्तदुरूस्त	c a u s a t a d a u r a uu s a t a
चूँकि	c a uu mq k a i
चूंकि	c a uu q k a i
चूंकी	c a uu q k a ii
चूक	c a uu k a
चूकते	c a uu k a t a ee
चूना	c a uu n a aa
चूने	c a uu n a ee
चूम	c a uu m a
चूमने	c a uu m a n a ee
चूमा	c a uu m a aa
चूमे	c a uu m a ee
चूर	c a uu r a
चूरा	c a uu r a aa
चूर्ण	c a uu r a nx a
चूल्हे	c a uu l a h a ee
चूहा	c a uu h a aa
चूहे	c a uu h a ee
चेकलिस्ट	c a ee k a l a i s a tx a
चेकस्वरूप	c a ee k a s a w a r a uu p a
चेतन	c a ee t a n a
चेतनरूप	c a ee t a n a r a uu p a
चेतना	c a ee t a n a aa
चेतावनी	c a ee t a aa w a n a ii
चेन्नई	c a ee n a n a ii
चेम्बर	c a ee m a b a r a
चेयर	c a ee y a r a
चेयरमैन	c a ee y a r a m a ei n a
चेलाही	c a ee l a aa h a ii
चेल्सी	c a ee l a s a ii
चेष्टा	c a ee sx a tx a aa
चेहरा	c a ee h a r a aa
चेहरे	c a ee h a r a ee
चेहरों	c a ee h a r a o q
चेहार	c a ee h a aa r a
चैंपियंस	c a ei q p a i y a q s a
चैंपियन	c a ei q p a i y a n a
चैंपियनशिप	c a ei q p a i y a n a sh a i p a
चैक	c a ei k a
चैतन्य	c a ei t a n a y a
चैती	c a ei t a ii
चैन	c a ei n a
चैनल	c a ei n a l a
चैनलों	c a ei n a l a o q
चैपल	c a ei p a l a
चैलेंज	c a ei l a ee q j a
चैलोमियम	c a ei l a o m a i y a m a
चॉक	c a k a
चॉकलेट	c a k a l a ee tx a
चॉकलेटबिस्कुट	c a k a l a ee tx a b a i s a k a u tx a
चों	c a o q
चोंच	c a o q c a
चोखेलाल	c a o kh a ee l a aa l a
चोगे	c a o g a ee
चोट	c a o tx a
चोटिल	c a o tx a i l a
चोटी	c a o tx a ii
चोटों	c a o tx a o q
चोबीस	c a o b a ii s a
चोर	c a o r a
चोरी	c a o r a ii
चोरों	c a o r a o q
चोल	c a o l a
चौँके	c a ou mq k a ee
चौंक	c a ou q k a
चौंककर	c a ou q k a k a r a
चौंकने	c a ou q k a n a ee
चौंका	c a ou q k a aa
चौंकाया	c a ou q k a aa y a aa
चौंके	c a ou q k a ee
चौक	c a ou k a
चौकन्ने	c a ou k a n a n a ee
चौकी	c a ou k a ii
चौकीदार	c a ou k a ii d a aa r a
चौके	c a ou k a ee
चौकोर	c a ou k a o r a
चौखट	c a ou kh a tx a
चौखटे	c a ou kh a tx a ee
चौखटों	c a ou kh a tx a o q
चौड़ी	c a ou dxq a ii
चौड़े	c a ou dxq a ee
चौडी	c a ou dx a ii
चौथा	c a ou th a aa
चौथाई	c a ou th a aa ii
चौथी	c a ou th a ii
चौथे	c a ou th a ee
चौदह	c a ou d a h a
चौदहवे	c a ou d a h a w a ee
चौधरी	c a ou dh a r a ii
चौधिया	c a ou dh a i y a aa
चौपट	c a ou p a tx a
चौपाई	c a ou p a aa ii
चौपाल	c a ou p a aa l a
चौबीस	c a ou b a ii s a
चौबीसों	c a ou b a ii s a o q
चौराहे	c a ou r a aa h a ee
चौराहों	c a ou r a aa h a o q
चौला	c a ou l a aa
चौहत्तर	c a ou h a t a t a r a
चौहान	c a ou h a aa n a
छँटी	ch a mq tx a ii
छंद	ch a q d a
छंदक	ch a q d a k a
छः	ch a hq
छःसात	ch a hq s a aa t a
छककर	ch a k a k a r a
छकड़ा	ch a k a dxq a aa
छक्का	ch a k a k a aa
छक्के	ch a k a k a ee
छक्कों	ch a k a k a o q
छज्जे	ch a j a j a ee
छज्जों	ch a j a j a o q
छटपटा	ch a tx a p a tx a aa
छटपटाया	ch a tx a p a tx a aa y a aa
छटा	ch a tx a aa
छटी	ch a tx a ii
छठी	ch a txh a ii
छठु	ch a txh a u
छड़ी	ch a dxq a ii
छत	ch a t a
छतनार	ch a t a n a aa r a
छतरी	ch a t a r a ii
छतों	ch a t a o q
छत्तीस	ch a t a t a ii s a
छत्तीसगढ़	ch a t a t a ii s a g a dxhq a
छद्म	ch a d a m a
छप	ch a p a
छपती	ch a p a t a ii
छपना	ch a p a n a aa
छपवाना	ch a p a w a aa n a aa
छपवायी	ch a p a w a aa y a ii
छपाई	ch a p a aa ii
छपी	ch a p a ii
छपीं	ch a p a ii q
छप्पर	ch a p a p a r a
छब्बीस	ch a b a b a ii s a
छलकती	ch a l a k a t a ii
छलाँग	ch a l a aa mq g a
छलाँगें	ch a l a aa mq g a ee q
छलांग	ch a l a aa q g a
छल्ले	ch a l a l a ee
छवि	ch a w a i
छवियाँ	ch a w a i y a aa mq
छवियों	ch a w a i y a o q
छविली	ch a w a i l a ii
छह	ch a h a
छा	ch a aa
छाई	ch a aa ii
छाछ	ch a aa ch a
छाछगढ़	ch a aa ch a g a dxhq a
छाड़	ch a aa dxq a
छाड़न	ch a aa dxq a n a
छाता	ch a aa t a aa
छाती	ch a aa t a ii
छात्र	ch a aa t a r a
छात्रछात्राओं	ch a aa t a r a ch a aa t a r a aa o q
छात्रवृत्ति	ch a aa t a r a w a rq t a t a i
छात्रा	ch a aa t a r a aa
छात्रावास	ch a aa t a r a aa w a aa s a
छात्रों	ch a aa t a r a o q
छान	ch a aa n a
छानकर	ch a aa n a k a r a
छानबीन	ch a aa n a b a ii n a
छाने	ch a aa n a ee
छान्दोग्य	ch a aa n a d a o g a y a
छाप	ch a aa p a
छापना	ch a aa p a n a aa
छापनी	ch a aa p a n a ii
छापने	ch a aa p a n a ee
छापा	ch a aa p a aa
छापी	ch a aa p a ii
छापे	ch a aa p a ee
छाया	ch a aa y a aa
छायाएँ	ch a aa y a aa ee mq
छायावाद	ch a aa y a aa w a aa d a
छायावादी	ch a aa y a aa w a aa d a ii
छायी	ch a aa y a ii
छाल	ch a aa l a
छाले	ch a aa l a ee
छासठ	ch a aa s a txh a
छिः	ch a i hq
छिङ	ch a i ng a
छिटपुट	ch a i tx a p a u tx a
छिड़	ch a i dxq a
छिड़कने	ch a i dxq a k a n a ee
छिड़का	ch a i dxq a k a aa
छिड़काव	ch a i dxq a k a aa w a
छिड़ी	ch a i dxq a ii
छिद्दा	ch a i d a d a aa
छिद्र	ch a i d a r a
छिद्रों	ch a i d a r a o q
छिन्नभिन्न	ch a i n a n a bh a i n a n a
छिप	ch a i p a
छिपकलियां	ch a i p a k a l a i y a aa q
छिपकली	ch a i p a k a l a ii
छिपने	ch a i p a n a ee
छिपा	ch a i p a aa
छिपाने	ch a i p a aa n a ee
छिपी	ch a i p a ii
छिपे	ch a i p a ee
छीँटे	ch a ii mq tx a ee
छींटे	ch a ii q tx a ee
छीन	ch a ii n a
छीनने	ch a ii n a n a ee
छीनी	ch a ii n a ii
छुआ	ch a u aa
छुकछुक	ch a u k a ch a u k a
छुट्टियाँ	ch a u tx a tx a i y a aa mq
छुट्टियों	ch a u tx a tx a i y a o q
छुट्टी	ch a u tx a tx a ii
छुड़ा	ch a u dxq a aa
छुड़ाना	ch a u dxq a aa n a aa
छुडुवा	ch a u dx a u w a aa
छुडुवाना	ch a u dx a u w a aa n a aa
छुपा	ch a u p a aa
छुपाकर	ch a u p a aa k a r a
छुपाने	ch a u p a aa n a ee
छुपी	ch a u p a ii
छुपे	ch a u p a ee
छू	ch a uu
छूकर	ch a uu k a r a
छूट	ch a uu tx a
छूटती	ch a uu tx a t a ii
छूटने	ch a uu tx a n a ee
छूटे	ch a uu tx a ee
छूटों	ch a uu tx a o q
छूते	ch a uu t a ee
छूना	ch a uu n a aa
छूने	ch a uu n a ee
छेड	ch a ee dx a
छेडऩे	ch a ee dx a ee
छेड़	ch a ee dxq a
छेड़छाड़	ch a ee dxq a ch a aa dxq a
छेड़ते	ch a ee dxq a t a ee
छेड़ेगा	ch a ee dxq a ee g a aa
छेद	ch a ee d a
छे़डछाड़	ch a ee dx a ch a aa dxq a
छोटका	ch a o tx a k a aa
छोटा	ch a o tx a aa
छोटासा	ch a o tx a aa s a aa
छोटी	ch a o tx a ii
छोटीछोटी	ch a o tx a ii ch a o tx a ii
छोटीबड़ी	ch a o tx a ii b a dxq a ii
छोटीमोटी	ch a o tx a ii m a o tx a ii
छोटीसी	ch a o tx a ii s a ii
छोटे	ch a o tx a ee
छोटेछोटे	ch a o tx a ee ch a o tx a ee
छोटेबड़े	ch a o tx a ee b a dxq a ee
छोटेमोटे	ch a o tx a ee m a o tx a ee
छोटेसेछोटे	ch a o tx a ee s a ee ch a o tx a ee
छोटों	ch a o tx a o q
छोटोंबड़ों	ch a o tx a o q b a dxq a o q
छोड	ch a o dx a
छोडकऱ	ch a o dx a k a
छोडना	ch a o dx a n a aa
छोडऩा	ch a o dx a aa
छोडऩे	ch a o dx a ee
छोड़	ch a o dxq a
छोड़कर	ch a o dxq a k a r a
छोड़क़र	ch a o dxq a kq a r a
छोड़ते	ch a o dxq a t a ee
छोड़ना	ch a o dxq a n a aa
छोड़ने	ch a o dxq a n a ee
छोड़ा	ch a o dxq a aa
छोड़ी	ch a o dxq a ii
छोड़े	ch a o dxq a ee
छोड़ेंगे	ch a o dxq a ee q g a ee
छोड़ो	ch a o dxq a o
छोडूं	ch a o dx a uu q
छोडूंगी	ch a o dx a uu q g a ii
छोडो	ch a o dx a o
छोर	ch a o r a
छोरे	ch a o r a ee
छोऱ	ch a o
जँची	j a mq c a ii
जंक्शन	j a q k a sh a n a
जंग	j a q g a
जंगल	j a q g a l a
जंगली	j a q g a l a ii
जंगले	j a q g a l a ee
जंगलों	j a q g a l a o q
जई	j a ii
जकडऩ	j a k a dx a
जकड़न	j a k a dxq a n a
जख़्मी	j a khq a m a ii
जख्मी	j a kh a m a ii
जगजीत	j a g a j a ii t a
जगत	j a g a t a
जगतसिंह	j a g a t a s a i q h a
जगत्	j a g a t a
जगदीशचंद्र	j a g a d a ii sh a c a q d a r a
जगदीशचन्द्र	j a g a d a ii sh a c a n a d a r a
जगने	j a g a n a ee
जगन्नाथ	j a g a n a n a aa th a
जगमगाते	j a g a m a g a aa t a ee
जगमोहन	j a g a m a o h a n a
जगलाल	j a g a l a aa l a
जगह	j a g a h a
जगहजगह	j a g a h a j a g a h a
जगहों	j a g a h a o q
जगाइए	j a g a aa i ee
जगाई	j a g a aa ii
जगाईं	j a g a aa ii q
जगाती	j a g a aa t a ii
जगी	j a g a ii
जग्गय्यापेटा	j a g a g a y a y a aa p a ee tx a aa
जग्गा	j a g a g a aa
जङी	j a ng a ii
जज	j a j a
जज़्बात	j a z a b a aa t a
जज़्बाती	j a z a b a aa t a ii
जटाएँ	j a tx a aa ee mq
जटायु	j a tx a aa y a u
जटाशंकर	j a tx a aa sh a q k a r a
जटिल	j a tx a i l a
जटिलताओं	j a tx a i l a t a aa o q
जड	j a dx a
जडऩे	j a dx a ee
जड़	j a dxq a
जड़े	j a dxq a ee
जड़ें	j a dxq a ee q
जड़ों	j a dxq a o q
जडाऊ	j a dx a aa uu
जतन	j a t a n a
जताई	j a t a aa ii
जताते	j a t a aa t a ee
जताया	j a t a aa y a aa
जतायी	j a t a aa y a ii
जदयू	j a d a y a uu
जन	j a n a
जनकंठ	j a n a k a q txh a
जनकोजी	j a n a k a o j a ii
जनगणना	j a n a g a nx a n a aa
जनजातीय	j a n a j a aa t a ii y a
जनजीवन	j a n a j a ii w a n a
जनता	j a n a t a aa
जननी	j a n a n a ii
जनभावना	j a n a bh a aa w a n a aa
जनम	j a n a m a
जनरल	j a n a r a l a
जनवरी	j a n a w a r a ii
जनशक्ति	j a n a sh a k a t a i
जनसंख्या	j a n a s a q kh a y a aa
जनसंघ	j a n a s a q gh a
जनसंचार	j a n a s a q c a aa r a
जनसंहार	j a n a s a q h a aa r a
जनसभा	j a n a s a bh a aa
जनसाधारण	j a n a s a aa dh a aa r a nx a
जनहित	j a n a h a i t a
जनाब	j a n a aa b a
